model,mean_score,std_score,min_score,max_score,weight
xgboost,0.8484394506866417,0.02957616033318295,0.7865168539325843,0.8888888888888888,0.12708988754087222
catboost,0.8450436953807741,0.04061113470919851,0.7640449438202247,0.9111111111111111,0.12665905329876623
random_forest,0.8383520599250935,0.03276894585808214,0.7752808988764045,0.8666666666666667,0.12581432654078578
gradient_boosting,0.8383021223470661,0.03436529094413654,0.7752808988764045,0.9111111111111111,0.12580804383491007
lightgbm,0.8349687890137328,0.03463479981935164,0.7752808988764045,0.8876404494382022,0.12538938184642442
extra_trees,0.8293757802746567,0.0341274139874854,0.7640449438202247,0.8555555555555555,0.12469003548618594
svc,0.8193008739076154,0.0295067389844982,0.7640449438202247,0.8651685393258427,0.12344010210736255
logistic,0.8002372034956305,0.02333549746187691,0.7640449438202247,0.8426966292134831,0.12110916934469279
